09-1-03889,1-2015,D8ANA,0274
09-1-03921,1-2015,D4GNA,0083
09-1-03921,1-2015,D4GNA,0095
09-1-03921,1-2015,D4GNA,0123
09-1-03921,1-2015,D4GNA,0389
09-1-03921,1-2015,D4GNA,522
09-1-03949,1-2015,D7ANA,0135
09-1-03949,1-2015,D4ANA,0389
09-1-03949,1-2015,D9ANA,0394
09-1-03949,1-2015,D3ANA,0524
09-1-03951,1-2015,D2ANA,0119
09-1-03951,1-2015,D3DNA,0121
09-1-03952,1-2015,D8ANA,0070
09-1-03952,1-2015,D5ANA,0084
09-1-03952,1-2015,D7ANA,0109
09-1-03952,1-2015,D4GNA,522
09-1-03952,1-2015,D5BNA,523
09-1-03961,1-2015,D10ANA,0074
09-1-03961,1-2015,D10ANA,0142
09-1-03961,1-2015,D10ANA,0579
09-1-03961,1-2015,D10ANA,0658
09-1-03961,1-2015,D10ANA,0659
09-1-03961,1-2015,D10ANA,529
09-1-03961,1-2015,D10ANA,530
09-1-03961,1-2015,D10ANA,531
09-1-04079,1-2015,D9ANA,0394
09-2-02361,1-2015,D7ANA,0140
09-2-02361,1-2015,D10ANA,0142
09-2-02361,1-2015,D9GNA,0576
09-2-02428,1-2015,D10ANA,0074
09-2-02428,1-2015,D10ANA,0142
09-2-02428,1-2015,D10ANA,0579
09-2-02428,1-2015,D10ANA,0658
09-2-02428,1-2015,D10ANA,0659
09-2-02428,1-2015,D10ANA,529
09-2-02428,1-2015,D10ANA,530
09-2-02428,1-2015,D10ANA,531
09-2-02458,1-2015,D6GNA,0086
09-2-02458,1-2015,D5ANA,0125
09-2-02458,1-2015,D1ANA,0437
09-2-02458,1-2015,D1ANA,0438
09-2-02473,1-2015,D3DNA,0121
09-2-02473,1-2015,D4ANA,0123
09-2-02473,1-2015,D5ANA,0133
09-2-02473,1-2015,D5ANA,523
09-2-02479,1-2015,D3DNA,0121
09-2-02479,1-2015,D4ANA,0123
09-2-02479,1-2015,D5ANA,0133
09-2-02479,1-2015,D5ANA,523
09-2-02483,1-2015,D1BNA,0353
09-2-02483,1-2015,D4ANA,0389
09-2-02483,1-2015,D1BNA,0437
09-2-02483,1-2015,D1BNA,0438
09-2-02483,1-2015,D5BNA,523
09-2-02498,1-2015,D3BNA,0121
09-2-02498,1-2015,D6GNA,0134
09-2-02498,1-2015,D4GNA,522
09-2-02500,1-2015,D9ANA,0071
09-2-02500,1-2015,D9ANA,0102
09-2-02500,1-2015,D9ANA,0129
09-2-02500,1-2015,D9ANA,0275
09-2-02500,1-2015,D9ANA,0394
09-2-02500,1-2015,D9ANA,0576
09-2-02500,1-2015,D9ANA,0627
09-2-02500,1-2015,D9ANA,0628
09-2-02500,1-2015,D9ANA,527
10-1-02544,1-2015,D6GNA,0108
10-1-02544,1-2015,D6GNA,0134
10-1-02544,1-2015,D6GNA,0139
10-1-02544,1-2015,D6GNA,0571
10-1-02644,1-2015,D8ANA,0070
10-1-02644,1-2015,D9ANA,0129
10-1-02644,1-2015,D3GNA,0524
10-1-02644,1-2015,D4GNA,522
10-1-02645,1-2015,D4ANA,0123
10-1-02645,1-2015,D6GNA,0134
10-1-02645,1-2015,D7GNA,0140
10-1-02645,1-2015,D9ANA,0394
10-1-02645,1-2015,D8ANA,526
10-1-02676,1-2015,D6ANA,0086
10-1-02676,1-2015,D6ANA,0108
10-1-02676,1-2015,D6ANA,0134
10-1-02676,1-2015,D6ANA,0139
10-1-02676,1-2015,D6ANA,0571
10-1-02678,1-2015,D9ANA,0275
10-1-02678,1-2015,D2ANA,446
10-1-02697,1-2015,D4ANA,0083
10-1-02697,1-2015,D4ANA,0095
10-1-02697,1-2015,D4ANA,0123
10-1-02697,1-2015,D4ANA,0389
10-1-02697,1-2015,D4ANA,522
10-1-02701,1-2015,D4ANA,0083
10-1-02701,1-2015,D4ANA,0095
10-1-02701,1-2015,D4ANA,0123
10-1-02701,1-2015,D4ANA,0389
10-1-02701,1-2015,D4ANA,522
10-1-02714,1-2015,D4GNA,0123
10-1-02714,1-2015,D7ANA,0140
10-1-02714,1-2015,D8ANA,526
10-1-02717,1-2015,D9ANA,0129
10-1-02717,1-2015,D5ANA,523
10-1-02724,1-2015,D8ANA,0070
10-1-02724,1-2015,D5GNA,0185
10-1-02725,1-2015,D10ANA,0074
10-1-02725,1-2015,D10ANA,0142
10-1-02725,1-2015,D10ANA,0658
10-1-02725,1-2015,D10ANA,0659
10-1-02725,1-2015,D10ANA,530
10-1-02725,1-2015,D10ANA,531
10-1-02740,1-2015,D10ANA,0074
10-1-02740,1-2015,D10ANA,0142
10-1-02740,1-2015,D10ANA,0579
10-1-02740,1-2015,D10ANA,0658
10-1-02740,1-2015,D10ANA,0659
10-1-02740,1-2015,D10ANA,529
10-1-02740,1-2015,D10ANA,530
10-1-02740,1-2015,D10ANA,531
10-1-02744,1-2015,D3GNA,0121
10-1-02744,1-2015,D5BNA,0133
10-1-02744,1-2015,D3GNA,0523
10-1-02744,1-2015,D10ANA,0659
10-1-02744,1-2015,D4ANA,522
10-1-02746,1-2015,D3ANA,0148
10-1-02777,1-2015,D5ANA,0084
10-1-02777,1-2015,D4ANA,0095
10-1-02782,1-2015,D3ANA,0121
10-1-02782,1-2015,D5GNA,0133
10-1-02782,1-2015,D3DNA,0524
10-1-02782,1-2015,D5GNA,523
10-1-02782,1-2015,D8ANA,526
10-1-02784,1-2015,D9ANA,0071
10-1-02784,1-2015,D9ANA,0102
10-1-02784,1-2015,D9ANA,0129
10-1-02784,1-2015,D9ANA,0275
10-1-02784,1-2015,D9ANA,0394
10-1-02784,1-2015,D9ANA,0576
10-1-02784,1-2015,D9ANA,0627
10-1-02784,1-2015,D9ANA,0628
10-1-02784,1-2015,D9ANA,527
10-1-02858,1-2015,D8ANA,0070
10-1-02858,1-2015,D8ANA,0136
10-1-02858,1-2015,D8ANA,0141
10-1-02858,1-2015,D8ANA,0274
10-1-02858,1-2015,D8ANA,0393
10-1-02858,1-2015,D8ANA,525
10-1-02858,1-2015,D8ANA,526
10-1-02868,1-2015,D9ANA,0071
10-1-02868,1-2015,D9ANA,0102
10-1-02868,1-2015,D9ANA,0129
10-1-02868,1-2015,D9ANA,0275
10-1-02868,1-2015,D9ANA,0394
10-1-02868,1-2015,D9ANA,0576
10-1-02868,1-2015,D9ANA,0627
10-1-02868,1-2015,D9ANA,0628
10-1-02868,1-2015,D9ANA,527
10-1-02884,1-2015,D3ANA,0524
10-1-02890,1-2015,D9GNA,0071
10-1-02890,1-2015,D9GNA,0102
10-1-02890,1-2015,D9GNA,0129
10-1-02890,1-2015,D9GNA,0275
10-1-02890,1-2015,D9GNA,0394
10-1-02890,1-2015,D9GNA,0576
10-1-02890,1-2015,D9GNA,0627
10-1-02890,1-2015,D9GNA,0628
10-1-02890,1-2015,D9GNA,527
10-1-02896,1-2015,D10ANA,0074
10-1-02896,1-2015,D10ANA,0142
10-1-02896,1-2015,D10ANA,0579
10-1-02896,1-2015,D10ANA,0658
10-1-02896,1-2015,D10ANA,0659
10-1-02896,1-2015,D10ANA,529
10-1-02896,1-2015,D10ANA,530
10-1-02896,1-2015,D10ANA,531
